data,values,cod,abbreviation,kurs_rub
1936-04-01,Bolg lion,975,BGN,0.0618
1936-05-01,Bolg lion,975,BGN,0.0615
1936-06-01,Bolg lion,975,BGN,0.0613
1936-07-01,Bolg lion,975,BGN,0.0613
1936-08-01,Bolg lion,975,BGN,0.0613
1936-09-01,Bolg lion,975,BGN,0.0613
1936-10-01,Bolg lion,975,BGN,0.0613
1936-11-01,Bolg lion,975,BGN,0.065
1936-12-01,Bolg lion,975,BGN,0.0634
1937-01-01,Bolg lion,975,BGN,0.0633
1937-02-03,Bolg lion,975,BGN,0.0634
1937-03-01,Bolg lion,975,BGN,0.0635
1937-04-01,Bolg lion,975,BGN,0.064
1937-05-01,Bolg lion,975,BGN,0.0658
1937-06-01,Bolg lion,975,BGN,0.0655
1937-07-01,Bolg lion,975,BGN,0.0656
1937-08-01,Bolg lion,975,BGN,0.0683
1937-09-01,Bolg lion,975,BGN,0.0683
1937-10-01,Bolg lion,975,BGN,0.0682
1937-11-01,Bolg lion,975,BGN,0.0681
1937-12-01,Bolg lion,975,BGN,0.0685
1938-01-01,Bolg lion,975,BGN,0.0671
1938-02-01,Bolg lion,975,BGN,0.0658
1938-03-01,Bolg lion,975,BGN,0.066
1938-04-01,Bolg lion,975,BGN,0.0656
1938-05-01,Bolg lion,975,BGN,0.0657
1938-06-01,Bolg lion,975,BGN,0.0657
1938-07-01,Bolg lion,975,BGN,0.0654
1938-08-01,Bolg lion,975,BGN,0.0653
1938-09-01,Bolg lion,975,BGN,0.065
1938-10-03,Bolg lion,975,BGN,0.0646
1938-11-01,Bolg lion,975,BGN,0.065
1938-12-01,Bolg lion,975,BGN,0.0644
1939-01-01,Bolg lion,975,BGN,0.0652
1939-02-01,Bolg lion,975,BGN,0.0648
1939-03-01,Bolg lion,975,BGN,0.0653
1939-04-01,Bolg lion,975,BGN,0.064
1939-05-03,Bolg lion,975,BGN,0.064
1939-06-01,Bolg lion,975,BGN,0.064
1939-07-01,Bolg lion,975,BGN,0.064
1939-08-01,Bolg lion,975,BGN,0.064
1939-09-04,Bolg lion,975,BGN,0.0627
1939-12-01,Bolg lion,975,BGN,0.0622
1940-01-01,Bolg lion,975,BGN,0.0625
1940-02-01,Bolg lion,975,BGN,0.063
1940-03-02,Bolg lion,975,BGN,0.0624
1940-04-01,Bolg lion,975,BGN,0.0587
1940-05-03,Bolg lion,975,BGN,0.0468
1940-06-01,Bolg lion,975,BGN,0.0468
1940-07-01,Bolg lion,975,BGN,0.0473
1940-08-01,Bolg lion,975,BGN,0.0473
1940-09-02,Bolg lion,975,BGN,0.0473
1940-10-01,Bolg lion,975,BGN,0.0473
1940-11-01,Bolg lion,975,BGN,0.0479
1940-12-02,Bolg lion,975,BGN,0.0518
1941-01-02,Bolg lion,975,BGN,0.0518
1941-02-01,Bolg lion,975,BGN,0.0518
1941-03-01,Bolg lion,975,BGN,0.0518
1941-04-01,Bolg lion,975,BGN,0.0518
1941-05-01,Bolg lion,975,BGN,0.0518
1941-06-01,Bolg lion,975,BGN,0.0518
1941-06-21,Bolg lion,975,BGN,0.0518
1941-07-01,Bolg lion,975,BGN,0.0518
1941-08-01,Bolg lion,975,BGN,0.0518
1941-09-01,Bolg lion,975,BGN,0.0518
1941-10-01,Bolg lion,975,BGN,0.0518
1941-11-01,Bolg lion,975,BGN,0.0518
1941-12-01,Bolg lion,975,BGN,0.0518
1942-01-01,Bolg lion,975,BGN,0.0518
1942-02-01,Bolg lion,975,BGN,0.0518
1942-03-06,Bolg lion,975,BGN,0.0518
1942-04-01,Bolg lion,975,BGN,0.0518
1942-05-01,Bolg lion,975,BGN,0.0518
1942-06-01,Bolg lion,975,BGN,0.0518
1942-07-01,Bolg lion,975,BGN,0.0518
1942-08-01,Bolg lion,975,BGN,0.0518
1942-09-01,Bolg lion,975,BGN,0.0518
1942-10-01,Bolg lion,975,BGN,0.0518
1942-11-01,Bolg lion,975,BGN,0.0518
1942-12-01,Bolg lion,975,BGN,0.0518
1943-01-01,Bolg lion,975,BGN,0.0518
1943-02-01,Bolg lion,975,BGN,0.0518
1943-03-01,Bolg lion,975,BGN,0.0518
1943-04-01,Bolg lion,975,BGN,0.0518
1943-05-01,Bolg lion,975,BGN,0.0518
1943-06-01,Bolg lion,975,BGN,0.0518
1943-07-01,Bolg lion,975,BGN,0.0518
1943-08-01,Bolg lion,975,BGN,0.0518
1943-09-01,Bolg lion,975,BGN,0.0518
1943-10-01,Bolg lion,975,BGN,0.0518
1943-11-01,Bolg lion,975,BGN,0.0518
1943-12-01,Bolg lion,975,BGN,0.0518
1944-01-02,Bolg lion,975,BGN,0.0518
1944-02-01,Bolg lion,975,BGN,0.0518
1944-03-01,Bolg lion,975,BGN,0.0518
1944-04-01,Bolg lion,975,BGN,0.0518
1944-05-03,Bolg lion,975,BGN,0.0518
1944-06-01,Bolg lion,975,BGN,0.0518
1944-07-01,Bolg lion,975,BGN,0.0518
1944-08-01,Bolg lion,975,BGN,0.0518
1944-09-01,Bolg lion,975,BGN,0.0518
1945-02-01,Bolg lion,975,BGN,0.0518
1945-03-03,Bolg lion,975,BGN,0.0518
1945-04-01,Bolg lion,975,BGN,0.0518
1945-05-03,Bolg lion,975,BGN,0.0518
1945-06-01,Bolg lion,975,BGN,0.0518
1945-07-02,Bolg lion,975,BGN,0.0518
1945-08-03,Bolg lion,975,BGN,0.0518
1945-09-03,Bolg lion,975,BGN,0.0518
1945-10-01,Bolg lion,975,BGN,0.0518
1945-11-03,Bolg lion,975,BGN,0.0518
1945-12-04,Bolg lion,975,BGN,0.0518
1946-01-01,Bolg lion,975,BGN,0.0185
1946-02-01,Bolg lion,975,BGN,0.0185
1946-03-01,Bolg lion,975,BGN,0.0185
1946-04-01,Bolg lion,975,BGN,0.0185
1946-05-04,Bolg lion,975,BGN,0.0185
1946-06-01,Bolg lion,975,BGN,0.0185
1946-07-02,Bolg lion,975,BGN,0.0185
1946-08-01,Bolg lion,975,BGN,0.0185
1946-09-02,Bolg lion,975,BGN,0.0185
1946-10-01,Bolg lion,975,BGN,0.0185
1946-11-01,Bolg lion,975,BGN,0.0185
1946-12-02,Bolg lion,975,BGN,0.0185
1947-01-01,Bolg lion,975,BGN,0.0185
1947-02-01,Bolg lion,975,BGN,0.0185
1947-03-01,Bolg lion,975,BGN,0.0185
1947-04-01,Bolg lion,975,BGN,0.0185
1947-05-04,Bolg lion,975,BGN,0.0185
1947-06-02,Bolg lion,975,BGN,0.0185
1947-07-01,Bolg lion,975,BGN,0.0185
1947-08-01,Bolg lion,975,BGN,0.0185
1947-09-01,Bolg lion,975,BGN,0.0185
1947-10-03,Bolg lion,975,BGN,0.0185
1947-11-06,Bolg lion,975,BGN,0.0185
1947-12-01,Bolg lion,975,BGN,0.0185
1948-01-02,Bolg lion,975,BGN,0.0185
1948-02-05,Bolg lion,975,BGN,0.0185
1948-03-05,Bolg lion,975,BGN,0.0185
1948-04-05,Bolg lion,975,BGN,0.0185
1948-05-06,Bolg lion,975,BGN,0.0186
1948-06-05,Bolg lion,975,BGN,0.0186
1948-07-05,Bolg lion,975,BGN,0.0186
1948-08-05,Bolg lion,975,BGN,0.0186
1948-09-10,Bolg lion,975,BGN,0.0186
1948-10-05,Bolg lion,975,BGN,0.0186
1948-11-05,Bolg lion,975,BGN,0.0186
1948-12-01,Bolg lion,975,BGN,0.0186
1949-01-07,Bolg lion,975,BGN,0.0186
1949-02-05,Bolg lion,975,BGN,0.0186
1949-03-05,Bolg lion,975,BGN,0.0186
1949-04-05,Bolg lion,975,BGN,0.0186
1949-05-03,Bolg lion,975,BGN,0.0186
1949-06-05,Bolg lion,975,BGN,0.0186
1949-07-05,Bolg lion,975,BGN,0.0186
1949-08-05,Bolg lion,975,BGN,0.0186
1949-09-09,Bolg lion,975,BGN,0.0186
1949-10-01,Bolg lion,975,BGN,0.0186
1949-11-01,Bolg lion,975,BGN,0.0186
1949-12-01,Bolg lion,975,BGN,0.0186
1950-01-02,Bolg lion,975,BGN,0.0186
1950-02-01,Bolg lion,975,BGN,0.0186
1950-03-01,Bolg lion,975,BGN,0.014
1950-04-18,Bolg lion,975,BGN,0.014
1950-05-03,Bolg lion,975,BGN,0.014
1950-06-03,Bolg lion,975,BGN,0.014
1950-07-05,Bolg lion,975,BGN,0.014
1950-08-01,Bolg lion,975,BGN,0.014
1950-09-01,Bolg lion,975,BGN,0.014
1950-10-02,Bolg lion,975,BGN,0.014
1950-11-01,Bolg lion,975,BGN,0.014
1950-12-01,Bolg lion,975,BGN,0.014
1951-01-01,Bolg lion,975,BGN,0.014
1951-02-01,Bolg lion,975,BGN,0.014
1951-03-01,Bolg lion,975,BGN,0.014
1951-04-01,Bolg lion,975,BGN,0.014
1951-05-01,Bolg lion,975,BGN,0.014
1951-06-01,Bolg lion,975,BGN,0.014
1951-07-01,Bolg lion,975,BGN,0.014
1951-08-01,Bolg lion,975,BGN,0.014
1951-09-01,Bolg lion,975,BGN,0.014
1951-10-01,Bolg lion,975,BGN,0.014
1951-11-01,Bolg lion,975,BGN,0.014
1951-12-01,Bolg lion,975,BGN,0.014
1952-01-05,Bolg lion,975,BGN,0.014
1952-02-18,Bolg lion,975,BGN,0.014
1952-03-05,Bolg lion,975,BGN,0.014
1952-04-01,Bolg lion,975,BGN,0.014
1952-05-03,Bolg lion,975,BGN,0.014
1952-06-01,Bolg lion,975,BGN,0.5882
1952-07-02,Bolg lion,975,BGN,0.5882
1952-08-01,Bolg lion,975,BGN,0.5882
1952-09-01,Bolg lion,975,BGN,0.5882
1952-10-01,Bolg lion,975,BGN,0.5882
1952-11-01,Bolg lion,975,BGN,0.5882
1952-12-01,Bolg lion,975,BGN,0.5882
1953-01-01,Bolg lion,975,BGN,0.5882
1953-02-01,Bolg lion,975,BGN,0.5882
1953-03-01,Bolg lion,975,BGN,0.5882
1953-04-01,Bolg lion,975,BGN,0.5882
1953-05-01,Bolg lion,975,BGN,0.5882
1953-06-01,Bolg lion,975,BGN,0.5882
1953-07-01,Bolg lion,975,BGN,0.5882
1953-08-01,Bolg lion,975,BGN,0.5882
1953-09-01,Bolg lion,975,BGN,0.5882
1953-10-01,Bolg lion,975,BGN,0.5882
1953-11-01,Bolg lion,975,BGN,0.5882
1953-12-01,Bolg lion,975,BGN,0.5882
1954-01-01,Bolg lion,975,BGN,0.5882
1954-02-01,Bolg lion,975,BGN,0.5882
1954-03-01,Bolg lion,975,BGN,0.5882
1954-04-01,Bolg lion,975,BGN,0.5882
1954-05-01,Bolg lion,975,BGN,0.5882
1954-06-01,Bolg lion,975,BGN,0.5882
1954-07-01,Bolg lion,975,BGN,0.5882
1954-08-01,Bolg lion,975,BGN,0.5882
1954-09-01,Bolg lion,975,BGN,0.5882
1954-10-01,Bolg lion,975,BGN,0.5882
1954-11-01,Bolg lion,975,BGN,0.5882
1954-12-01,Bolg lion,975,BGN,0.5882
1955-01-01,Bolg lion,975,BGN,0.5882
1955-02-01,Bolg lion,975,BGN,0.5882
1955-03-01,Bolg lion,975,BGN,0.5882
1955-04-01,Bolg lion,975,BGN,0.5882
1955-05-01,Bolg lion,975,BGN,0.5882
1955-06-01,Bolg lion,975,BGN,0.5882
1955-07-01,Bolg lion,975,BGN,0.5882
1955-08-01,Bolg lion,975,BGN,0.5882
1955-09-01,Bolg lion,975,BGN,0.5882
1955-10-01,Bolg lion,975,BGN,0.5882
1955-11-01,Bolg lion,975,BGN,0.5882
1955-12-01,Bolg lion,975,BGN,0.5882
1956-01-01,Bolg lion,975,BGN,0.5882
1956-02-01,Bolg lion,975,BGN,0.5882
1956-03-01,Bolg lion,975,BGN,0.5882
1956-04-01,Bolg lion,975,BGN,0.5882
1956-05-01,Bolg lion,975,BGN,0.5882
